STATE/UT,DISTRICT,TEHSIL/BLOCK ,VILLAGE NAME,SITE NAME,latitude,longitude,WELL SITE TYPE,water_level
Andhra Pradesh,Chittoor,Kalikiri,Medikurthi,Medikurthi-NQM,13.70517,78.77318,Bore Well,4.32
Andhra Pradesh,Chittoor,Kalikiri,T.Chandravaripalli,T.Chandravaripalli-,13.72281,78.86358,Bore Well,4.96
,,,,NQM,,,,
Andhra Pradesh,Chittoor,Kammapalli,Balezapalli,BalezapalliDW15,13.521262,79.380715,Dug Well,1.96
Andhra Pradesh,Chittoor,Kuppam,Ammasi Reddy,Ammasi Reddy,13.456562,79.963752,Dug Well,2.25
,,,Kandriga,Kandriga-DW13,,,,
Andhra Pradesh,Chittoor,Kurabalakota,Errapalle,Errapalle-NQM,13.67682,78.46081,Bore Well,7.2
Andhra Pradesh,Chittoor,Kurabalakota,Kurabalakota,Kurabalakota-NQM,13.65967,78.48868,Bore Well,2.45
Andhra Pradesh,Chittoor,Madanapalle,Arogyavaram,Arogyavaram,13.59343,78.52698,Dug Well,5.95
Andhra Pradesh,Chittoor,Madanapalle,Basani Khonda,Basani Khonda-,13.55127,78.52983,Dug Well,1.35
,,,,DW14,,,,
Andhra Pradesh,Chittoor,Madanapalle,Danduvaripalle,Danduvaripalle-NQM,13.51068,78.47652,Bore Well,22.13
Andhra Pradesh,Chittoor,Madanapalle,Madanapalle,Madanapalle-NQM,13.55638,78.50148,Bore Well,13.55
Andhra Pradesh,Chittoor,Nagalapuram,Baitakodiambedu,Baitakodiambedu-,13.369534,79.814331,Dug Well,4.32
,,,,DW13,,,,
Andhra Pradesh,Chittoor,Nagalapuram,Nagalapuram,Nagalapuram-DW13,13.395473,79.777029,Dug Well,1.74
Andhra Pradesh,Chittoor,Nimmanapalle,Chintaparti,Chintaparti-1,13.64421,78.70485,Dug Well,0.25
Andhra Pradesh,Chittoor,Nimmanapalle,Nimmanapalle,Nimmanapalle-NQM,13.57053,78.66868,Bore Well,0.8
Andhra Pradesh,Chittoor,Pakala,Damalcheruvu,Damalcheruvu,13.478035,79.048154,Dug Well,1.98
Andhra Pradesh,Chittoor,Palamaner,Duginevaripalli,Duginevaripalli,13.147758,78.661174,Dug Well,1.7
Andhra Pradesh,Chittoor,Palamaner,M.Kotur,M.Kotur-NQM,13.103692,78.752912,Bore Well,2.31
Andhra Pradesh,Chittoor,Palamaner,Palamaneru,Palamaneru-2,13.1990988,78.7451436,Dug Well,0.25
Andhra Pradesh,Chittoor,Palamaner,T.Vodduru,T.Vodduru1-NQM,13.1763889,78.7497222,Bore Well,5.6
Andhra Pradesh,Chittoor,Palamaner,T.Vodduru,T.Vodduru-NQM,13.176582,78.749927,Bore Well,8.1
,,NAME,,,,,,LEVEL
,,,,,,,,(mbgl)
Andhra Pradesh,Chittoor,"Peddatippasamudra
m",Pulikallu,Pulikallu-NQM,13.7738,78.22435,Bore Well,0.45
Andhra Pradesh,Chittoor,Pulicherla,Marriguntalagani Palli,Marriguntalagani,13.568648,79.01537,Dug Well,3.23
,,,,Palli,,,,
Andhra Pradesh,Chittoor,Punganur,Idegepalli,Idegepalli-NQM,13.470248,78.538429,Bore Well,10.4
Andhra Pradesh,Chittoor,Puthalapattu,Bandarapalli,Bandarapalli-DW13,13.331324,79.099552,Dug Well,2.5
Andhra Pradesh,Chittoor,Puthalapattu,Kanipakam,Kanipakam-DW14,13.262268,79.060404,Dug Well,1.16
Andhra Pradesh,Chittoor,Puttur,Puttur,Puttur 2014 DW,13.444717,79.551048,Dug Well,0.01
Andhra Pradesh,Chittoor,Ramakuppam,Govindapalle,Govindapalle-NQM,12.815605,78.456067,Bore Well,7.38
Andhra Pradesh,Chittoor,Ramasamudram,Chokkandapalle,Chokkandapalle-,13.32548,78.45216,Bore Well,18.35
,,,,NQM,,,,
Andhra Pradesh,Chittoor,Ramasamudram,Ramasamudram,Ramasamudram-,13.36429,78.4271,Dug Well,0.01
,,,,DW15,,,,
Andhra Pradesh,Chittoor,Renigunta,Guntuvaripalli,Guntuvaripalli-DW13,13.6514,79.5425,Dug Well,2.65
Andhra Pradesh,Chittoor,Rompicherla,Rompicherla,Rompicherla1-NQM,13.67,79.0436111,Bore Well,11.48
Andhra Pradesh,Chittoor,Rompicherla,Rompicherla,Rompicherla-NQM,13.670268,79.043764,Bore Well,10.4
Andhra Pradesh,Chittoor,Satyavedu,Madambedu,Madambedu-DW14,13.411464,79.928591,Dug Well,6.99
Andhra Pradesh,Chittoor,Sodum,Battuvaripalli,Battuvaripalli,13.547094,78.916628,Dug Well,1.25
Andhra Pradesh,Chittoor,Sodum,Gundlurivaripalle,Gundlurivaripalle1-,13.554438,78.897996,Bore Well,11.03
,,,,NQM,,,,
Andhra Pradesh,Chittoor,Sodum,Gundlurivaripalle,Gundlurivaripalle-,13.554438,78.897996,Bore Well,11.25
,,,,NQM,,,,
